Sim 2

Solar R: 0.3801
Solar A: 0.6199
Solar T: 0.0

Wavelength	R	A	T
2.4411	0.2199	0.7801	0.0	
2.4473	0.219	0.781	0.0	
2.4535	0.2282	0.7718	0.0	
2.4597	0.2334	0.7666	0.0	
2.4659	0.2461	0.7538	0.0	
2.4721	0.2583	0.7417	0.0	
2.4783	0.2702	0.7298	0.0	
2.4845	0.2837	0.7163	0.0	
2.4907	0.3017	0.6983	0.0	
2.4969	0.3197	0.6802	0.0	
2.5	0.3233	0.6767	0.0	

Input file:
mc
output:fig5b
particle1:fe2o3.txt
particle2:tio2.txt
matrix1:acr.txt
mesh:1
solar:am15.txt
photons:100000
start=0.25
end=2.5

sim2
upper:1
lower:1
layer1
matrix1
t:100
particle1
d:0.05
vf:0.5
layer2
matrix1
t:300
particle2
d:0.4
vf:60
